index_name,doc_count,size_gb,has_domain,domain_field,has_url,url_field,has_company,company_field,has_person,person_field,has_phone,phone_field,has_email,email_field,has_address,address_field,unification_target,data_quality,quality_notes
atlas,155563145,18.2,YES,domain,YES,url,YES,company_name,NO,,NO,,NO,,NO,,DOMAIN_UNIFIED,HIGH,"Master domain index with company enrichment"
atlas_unified_domains,8474522,1.3,YES,domain,NO,,NO,,NO,,NO,,NO,,NO,,DOMAIN_UNIFIED,HIGH,"Consolidated domain index"
domains_unified,180342617,17.1,YES,domain,YES,url,YES,company_name,YES,linked_people,NO,,NO,,NO,,DOMAIN_UNIFIED,SPARSE,"83.7% UNENRICHED - filter by exists:categories for enriched subset"
unified_domain_profiles,5851357,0.9,YES,domain,NO,,NO,,NO,,NO,,NO,,NO,,DOMAIN_UNIFIED,HIGH,"Domain profiles with categories"
top_domains,8671244,1.5,YES,domain,YES,url,NO,,NO,,NO,,NO,,NO,,DOMAIN_UNIFIED,HIGH,"Top ranked domains"
wdc-domain-profiles,246998,0.04,YES,domain,NO,,NO,,NO,,NO,,NO,,NO,,DOMAIN_UNIFIED,HIGH,"WDC domain metadata"
indom,28485,0.01,YES,domain,YES,url,NO,,NO,,NO,,NO,,NO,,DOMAIN_UNIFIED,HIGH,"Domain nodes"
domains_complete,300,0.0,YES,domain,YES,url,NO,,NO,,NO,,NO,,NO,,DOMAIN_UNIFIED,HIGH,"Complete domain records"
cc_host_vertices,235648112,12.7,YES,hostname,NO,,NO,,NO,,NO,,NO,,NO,,DOMAIN_UNIFIED,HIGH,"CommonCrawl host vertices"
cymonides_cc_domain_vertices,100662487,7.5,YES,domain,NO,,NO,,NO,,NO,,NO,,NO,,DOMAIN_UNIFIED,HIGH,"CC domain vertices with IDs"
companies_unified,14930568,16.1,YES,"domain,domains",YES,website_url,YES,"name,legal_name",NO,,YES,telephone,YES,emails,YES,street_address,COMPANY_UNIFIED,MIXED,"name field is GARBAGE - use legal_name instead"
company_profiles,496,0.0,YES,domain,YES,linkedin_url,YES,company_name,NO,,NO,,NO,,NO,,COMPANY_UNIFIED,HIGH,"Company profile cache"
openownership,36460977,19.3,NO,,YES,source_url,YES,"name,subject_name",YES,interested_party_name,NO,,NO,,YES,address,COMPANY_UNIFIED,PARTIAL,"subject_name is 0% POPULATED - use interested_party_name"
wdc-organization-entities,9618873,14.9,YES,domain,YES,url,YES,"name,legalName",YES,"founder,employee",YES,telephone,YES,email,YES,address,COMPANY_UNIFIED,HIGH,"Schema.org organizations"
wdc-localbusiness-entities,478341,0.8,YES,domain,YES,url,YES,"name,legalName",YES,founder,YES,telephone,YES,email,YES,address,COMPANY_UNIFIED,HIGH,"Schema.org local businesses"
affiliate_linkedin_companies,2851571,0.7,YES,domain,YES,"linkedin_url,website_url",YES,company_name,NO,,NO,,NO,,NO,,COMPANY_UNIFIED,HIGH,"LinkedIn company data"
finepdfs-corporate,1754959,0.6,YES,domain,YES,url,YES,company_name,NO,,NO,,NO,,NO,,COMPANY_UNIFIED,HIGH,"Corporate PDFs"
corporate_registry,2,0.0,NO,,NO,,NO,,NO,,NO,,NO,,NO,,METADATA,HIGH,"Registry metadata only"
persons_unified,6386096,2.7,YES,employer_domains,NO,,YES,company_ids,YES,full_name,YES,"telephone,telephones",YES,"email,emails",YES,address_locality,PERSON_UNIFIED,GARBAGE,"full_name is GARBAGE - NER failures, article titles, locations"
wdc-person-entities,6842260,13.8,YES,domain,YES,url,YES,worksFor,YES,"name,givenName,familyName",YES,telephone,YES,email,YES,address,PERSON_UNIFIED,HIGH,"Schema.org persons"
linkedin_unified,2884999,0.9,YES,"domain,company_domain",YES,linkedin_url,YES,company_name,YES,person_name,NO,,NO,,NO,,PERSON_UNIFIED,HIGH,"PREFERRED source - LinkedIn profiles"
emails_unified,5000,0.01,YES,email_domain,NO,,YES,company_ids,YES,"person_ids,person_names",NO,,YES,email,NO,,EMAIL_UNIFIED,CORRUPTED,"email_domain and local_part fields are CORRUPTED - do not use"
kazaword_emails,92416,0.2,NO,,NO,,NO,,NO,,NO,,YES,all_emails,NO,,EMAIL_UNIFIED,HIGH,"Email archive"
phones_unified,49524,0.09,NO,,NO,,YES,company_ids,YES,"person_ids,person_names",YES,"phone_e164,phone_raw",NO,,NO,,PHONE_UNIFIED,HIGH,"Phone-centric index"
breach_records,189236815,38.7,YES,email_domain,NO,,NO,,YES,name,YES,phone,YES,email,YES,address,BREACH_UNIFIED,MIXED,"name field is GARBAGE - use email field only"
red_flag,1950406,2.5,YES,"domains,email_domains",YES,url,NO,,YES,"person_first_name,person_last_name",YES,phone_numbers,YES,email_addresses,NO,,RED_FLAG,HIGH,"Sanctions/PEP/adverse media - authoritative"
nexus_breach_records,197668,0.09,NO,,NO,,NO,,NO,,NO,,NO,,NO,,BREACH_UNIFIED,HIGH,"Parsed breach records"
cc_web_graph_host_edges,421203112,28.6,NO,,NO,,NO,,NO,,NO,,NO,,NO,,EDGE_DOMAIN,HIGH,"Host-level link graph"
cc_web_graph_edges,14965000,0.8,YES,"source,target",YES,"source_url,target_url",NO,,NO,,NO,,NO,,NO,,EDGE_DOMAIN,HIGH,"URL-level link graph"
cymonides_cc_domain_edges,435770000,16.5,NO,,NO,,NO,,NO,,NO,,NO,,NO,,EDGE_DOMAIN,HIGH,"Domain edge graph (vertex IDs)"
entity_links,4750000,0.6,NO,,NO,,NO,,NO,,NO,,NO,,NO,,EDGE_ENTITY,HIGH,"Entity-to-entity edges"
