source_index,doc_count,contributes_to,contribution_fields,id_strategy,quality_warning,notes
atlas,155563145,DOMAIN_UNIFIED,"domain,url,categories,ranks,sources",domain,,"Primary domain enrichment"
atlas,155563145,COMPANY_UNIFIED,"company_name,company_industry",domain+company_name,,"Company data attached to domains"
domains_unified,180342617,DOMAIN_UNIFIED,"domain,url,categories,ranks,sources,tld",domain,SPARSE_83PCT,"83.7% unenriched - filter by exists:categories"
domains_unified,180342617,COMPANY_UNIFIED,"company_name,company_linkedin_url,linkedin_url",domain+company_name,,"Company enrichment"
domains_unified,180342617,PERSON_UNIFIED,linked_people,domain+person_name,,"Person mentions on domains"
atlas_unified_domains,8474522,DOMAIN_UNIFIED,"domain,categories,ranks,sources",domain,,"Already consolidated domains"
top_domains,8671244,DOMAIN_UNIFIED,"domain,url,rank,categories,tld",domain,,"Rank-focused domains"
unified_domain_profiles,5851357,DOMAIN_UNIFIED,"domain,categories,sources,search_url_templates",domain,,"Domain profiles"
wdc-domain-profiles,246998,DOMAIN_UNIFIED,"domain,entity_types,categories,tld",domain,,"WDC domain metadata"
cc_host_vertices,235648112,DOMAIN_UNIFIED,"hostname->domain,vertex_id",hostname,,"CommonCrawl hosts"
cymonides_cc_domain_vertices,100662487,DOMAIN_UNIFIED,"domain,vertex_id,count",domain,,"CC domain vertices for graph joins"
indom,28485,DOMAIN_UNIFIED,"domain,url,title",domain,,"Small domain set"
domains_complete,300,DOMAIN_UNIFIED,"domain,url,all fields",domain,,"Complete domain records"
companies_unified,14930568,COMPANY_UNIFIED,"name,legal_name,company_number,jurisdiction_code,industry,founding_date",company_id,GARBAGE:name,"name field is garbage - use legal_name"
companies_unified,14930568,DOMAIN_UNIFIED,"domain,domains,website_url",domain,,"Company domains"
companies_unified,14930568,EMAIL_UNIFIED,emails,email,,"Company emails"
companies_unified,14930568,PHONE_UNIFIED,telephone,phone_e164,,"Company phones"
companies_unified,14930568,ADDRESS_UNIFIED,"street_address,city,country,postal_code",address_hash,,"Company addresses"
